"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\badin\Downloads\client1k\src\app\app-routing.module.ts", "TypeScript", -2, 0, 0, 2, 0, 0
"c:\Users\badin\Downloads\client1k\src\app\app.module.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"c:\Users\badin\Downloads\client1k\src\app\components\button-panel\button-panel.component.html", "HTML", 0, 0, 0, 20, 0, 20
"c:\Users\badin\Downloads\client1k\src\app\components\button-panel\button-panel.component.scss", "SCSS", 0, -5, 0, 27, 8, 30
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.html", "HTML", 0, 0, 4, 0, -3, 1
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.scss", "SCSS", 0, 51, 0, 0, 10, 61
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.html", "HTML", 0, 0, 20, 6, 4, 30
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.scss", "SCSS", 0, 49, 0, 3, 10, 62
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.ts", "TypeScript", 37, 0, 0, 0, 8, 45
"c:\Users\badin\Downloads\client1k\src\app\models\flight.ts", "TypeScript", 10, 0, 0, 0, 1, 11
"Total", "-", 52, 95, 24, 58, 38, 267